tick,white population,black population,luminosity,global temperature
0,156,156,0.8,8.90433132364
1,99,180,0.8,13.970366755
2,35,216,0.8,19.2748381382
3,8,344,0.8,25.1314176729
4,1,436,0.8,30.7002543322
5,0,492,0.8,34.8819227621
6,0,444,0.8,37.6897841488
7,0,350,0.8,38.6562920968
8,0,244,0.8,38.2129560008
9,0,172,0.8,36.9022764158
10,0,149,0.8,35.4981009868
11,0,140,0.8,34.5341265418
12,0,144,0.8,33.933674362
13,0,152,0.8,33.6649057833
14,0,157,0.8,33.6026625042
15,0,166,0.8,33.6167233096
16,0,170,0.8,33.711417947
17,0,185,0.8,33.7861267296
18,0,193,0.8,33.9763422433
19,0,199,0.8,34.1638447252
20,0,194,0.8,34.3265441183
21,0,200,0.8,34.3549865926
22,0,179,0.8,34.4254256477
23,0,188,0.8,34.2408323918
24,0,182,0.8,34.2318910645
25,0,180,0.8,34.1579599211
26,0,190,0.8,34.1095036913
27,0,204,0.8,34.1927638252
28,0,221,0.8,34.3858773854
29,0,237,0.8,34.6576576412
30,0,239,0.8,34.9624349502
31,0,243,0.8,35.1523699217
32,0,227,0.8,35.2929774381
33,0,227,0.8,35.2096085434
34,0,205,0.8,35.1780786165
35,0,181,0.8,34.9366169489
36,0,165,0.8,34.5587478894
37,0,158,0.8,34.203537162
38,0,153,0.8,33.9385550079
39,0,145,0.8,33.744693825
40,0,146,0.8,33.5556405074
41,0,154,0.8,33.4606259776
42,0,154,0.8,33.4860824452
43,0,161,0.8,33.4945178818
44,0,169,0.8,33.5714679289
45,0,183,0.8,33.6934864119
46,0,181,0.8,33.9023720339
47,0,182,0.8,33.9893218648
48,0,187,0.8,34.041376711
49,0,182,0.8,34.1139431345
50,0,188,0.8,34.0969226595
51,0,184,0.8,34.1556871022
52,0,180,0.8,34.1475572214
53,0,171,0.8,34.1075898785
54,0,159,0.8,33.9905275574
55,0,141,0.8,33.8122088321
56,0,132,0.8,33.5404715975
57,0,143,0.8,33.3076366353
58,0,139,0.8,33.304846008
59,0,156,0.8,33.2632675495
60,0,159,0.8,33.4192539763
61,0,187,0.8,33.5222195996
62,0,204,0.8,33.8706169871
63,0,209,0.8,34.2199612775
64,0,219,0.8,34.4527283159
65,0,209,0.8,34.6870433892
66,0,212,0.8,34.7105010066
67,0,183,0.8,34.7523743144
68,0,176,0.8,34.4582890192
69,0,172,0.8,34.227720664
70,0,160,0.8,34.0607628802
71,0,157,0.8,33.8475496524
72,0,146,0.8,33.712795542
73,0,158,0.8,33.5413480556
74,0,173,0.8,33.5834266509
75,0,185,0.8,33.7613634934
76,0,192,0.8,33.978889151
77,0,186,0.8,34.1702598408
78,0,185,0.8,34.2048304596
79,0,186,0.8,34.2046764342
80,0,180,0.8,34.2041561352
81,0,180,0.8,34.1390837067
82,0,172,0.8,34.1006848071
83,0,181,0.8,33.9923110939
84,0,184,0.8,34.0269918524
85,0,189,0.8,34.0731627513
86,0,187,0.8,34.1530153232
87,0,203,0.8,34.1813338519
88,0,207,0.8,34.3653485978
89,0,206,0.8,34.5126992071
90,0,189,0.8,34.5777893772
91,0,190,0.8,34.4323458827
92,0,178,0.8,34.3531595158
93,0,176,0.8,34.1812177211
94,0,163,0.8,34.0732166805
95,0,165,0.8,33.8847115568
96,0,171,0.8,33.8131853598
97,0,180,0.8,33.8441992708
98,0,186,0.8,33.959038689
99,0,191,0.8,34.0827712719
100,0,193,0.8,34.1947315972
101,0,187,0.8,34.2662397513
102,0,163,0.8,34.2371447321
103,0,161,0.8,33.9683447907
104,0,172,0.8,33.808955348
